Tm,Batter,vs,Pitcher,RC,PA,AB,H,HR,XB,BB,K,AVG
PIT,Michael A. Taylor,-9,Rodriguez,-3,0,0,0,0,0,0,0,0
OAK,Esteury Ruiz,-9,Skubal,-34,7,6,0.2,0,0,1,3,0.033
OAK,J.D. Davis,-9,Skubal,-38,2,2,0,0,0,0,2,0
OAK,Ryan Noda,-9,Skubal,-48,1,1,0,0,0,0,1,0
OAK,Seth Brown,-9,Skubal,-45,2,2,0,0,0,0,0,0.01
OAK,Shea Langeliers,-9,Skubal,-45,3,3,0,0,0,0,3,0
OAK,Tyler Nevin,-9,Skubal,-48,2,2,0.6,0,0.4,0,1,0.287
OAK,Zack Gelof,-9,Skubal,-45,3,3,0.3,0,0,0,1,0.084
TEX,Justin Foscue,-10,Brown,6,0,0,0,0,0,0,0,0
BOS,Bobby Dalbec,-10,Canning,-12,2,1,0,0,0,1,1,0
SF,Tyler Fitzgerald,-10,Cease,-21,0,0,0,0,0,0,0,0
LAA,Jo Adell,-10,Crawford,-31,0,0,0,0,0,0,0,0
MIL,Blake Perkins,-10,Gilbert,-33,0,0,0,0,0,0,0,0
MIL,Jackson Chourio,-10,Gilbert,-21,0,0,0,0,0,0,0,0
MIL,Oliver Dunn,-10,Gilbert,-34,0,0,0,0,0,0,0,0
SD,Eguy Rosario,-10,Hicks,-18,0,0,0,0,0,0,0,0
COL,Elehuris Montero,-10,Littell,-13,1,1,0.1,0,0,0,0,0.108
WAS,Nasim Nu�ez,-10,Nola,-14,0,0,0,0,0,0,0,0
SEA,Luke Raley,-10,Peralta,-40,2,2,0,0,0,0,1,0.001
SEA,Seby Zavala,-10,Peralta,-33,0,0,0,0,0,0,0,0
CHW,Braden Shewmake,-10,Singer,-5,0,0,0,0,0,0,0,0
OAK,Abraham Toro,-10,Skubal,-46,3,3,0,0,0,0,3,0
OAK,Brent Rooker,-10,Skubal,-50,7,7,0.2,0.2,0.1,0,3,0.033
OAK,Darell Hernaiz,-10,Skubal,-72,0,0,0,0,0,0,0,0
OAK,JJ Bleday,-10,Skubal,-61,0,0,0,0,0,0,0,0
OAK,Kyle McCann,-10,Skubal,-71,0,0,0,0,0,0,0,0
OAK,Lawrence Butler,-10,Skubal,-64,0,0,0,0,0,0,0,0
ARI,Blaze Alexander,-10,Strider,-22,0,0,0,0,0,0,0,0
ARI,Jorge Barrosa,-10,Strider,-29,0,0,0,0,0,0,0,0
ARI,Tucker Barnhart,-10,Strider,-18,0,0,0,0,0,0,0,0
