Tm,Batter,vs,Pitcher,RC,BB,K,HR,XB,1B,BB,K
KC,John Rave,-8,Ryan,-24,-42,26,2.4,4.2,13.5,6.5,32.9
HOU,Christian Walker,0,Schlittler,-25,11,17,3.1,4,12.6,11.3,31
LAA,Luis Rengifo,-7,Skubal,-25,-35,47,1.3,4.6,18.2,3.7,29.8
HOU,Cam Smith,-4,Schlittler,-27,20,22,2.6,3.6,13.4,10.3,33.8
TEX,Josh Jung,-8,Sanchez,-27,-46,15,1.9,3.3,15.2,3.5,29.5
NYM,Francisco Alvarez,-8,Woodruff,-29,-31,24,3.1,3.6,10,7.1,35.5
TEX,Marcus Semien,-4,Sanchez,-29,-48,24,2.3,3.7,16,5.8,23.3
BOS,Abraham Toro,-6,Pivetta,-30,-25,40,2.5,4.6,12.3,5.1,22.7
TEX,Jonah Heim,-8,Sanchez,-30,-47,21,1.7,3,16,4,28.2
LAA,Zach Neto,-7,Skubal,-30,-39,40,2.6,5.3,13.3,5.2,36.6
BOS,Ceddanne Rafaela,-6,Pivetta,-31,-22,45,3.3,5.2,11.9,3.6,29.7
BOS,Jarren Duran,-6,Pivetta,-31,-26,34,3.7,5.3,10.2,6.1,33.9
NYM,Pete Alonso,-7,Woodruff,-31,-37,36,4.5,4.5,9,6.1,36.2
TEX,Ezequiel Duran,-10,Sanchez,-33,-48,22,1.6,3.3,12.2,2.9,34.2
TEX,Kyle Higashioka,-7,Sanchez,-33,-50,27,2.4,3.7,15.5,3.8,27.4
BOS,Trevor Story,-7,Pivetta,-33,-24,33,3.6,4.6,11,4.9,35.9
NYY,Trent Grisham,-2,Brown,-34,4,27,2.7,2.7,10.1,16.3,31.2
TEX,Adolis Garcia,-9,Sanchez,-35,-49,15,2.1,3.1,12.4,4.8,34.4
BOS,Carlos Narvaez,-8,Pivetta,-35,-30,39,3.9,4,10,6.1,36.3
NYY,Ben Rice,-4,Brown,-36,-2,31,3.6,3,10.5,11.4,29.6
BOS,Roman Anthony,-7,Pivetta,-36,-22,38,2.8,4.2,9.4,10.4,35.1
BOS,Wilyer Abreu,-6,Pivetta,-36,-30,43,3.5,5.7,9.5,6.3,37.6
NYY,Ryan McMahon,-6,Brown,-38,-2,19,2.3,3.4,11.7,11.9,38.9
NYY,Anthony Volpe,-6,Brown,-40,-5,34,2.4,2.9,13.4,9.3,32.9
LAA,Jo Adell,-9,Skubal,-41,-44,59,3.3,4.1,12,4.7,41.7
TEX,Corey Seager,-8,Sanchez,-42,-61,28,2.2,3.4,14.4,4.7,29.2
NYY,Jazz Chisholm,-6,Brown,-42,-2,29,2.7,2.3,12.6,10.7,35.5
TEX,Wyatt Langford,-10,Sanchez,-45,-50,28,1.8,2.7,11.9,5.8,35.2
NYY,Aaron Judge,-6,Brown,-46,-6,29,3.3,2.8,8.8,13.9,40.4
NYY,Jasson Dominguez,-8,Brown,-46,-10,23,1.5,2.5,12.6,9.4,34.7
LAA,Taylor Ward,-9,Skubal,-46,-56,49,2.5,4.4,11,6.5,42.8
LAA,Logan O'Hoppe,-9,Skubal,-47,-35,46,2.1,4.5,11.6,5.6,44.9
LAA,Christian Moore,-10,Skubal,-49,-42,46,1.7,3.5,10.2,6,45.7
NYY,Austin Wells,-9,Brown,-52,-12,37,2.3,2.9,11.2,7.5,37.3
LAA,Mike Trout,-10,Skubal,-54,-48,52,2.4,3.8,8.6,8,47.6
LAA,Bryce Teodosio,-10,Skubal,-55,-33,41,1.3,3.3,11.2,3.4,49.2
BAL,Greg Allen,-10,Ginn,,,,,,,,
